Name,Price,Mileage,Doors,Horsepower,Seats,Year,Cabriolet,Black,ImageId
VOLVO V70 2.5T AWD,17800,148000,5,210,5,2002,False,True,52b0d037-3c0b-4393-ba7b-323025024eb6
LAMBORGHINI Diablo 6.0,248500,14000,2,550,2,2002,False,False,d8d39bf9-ca04-4adb-8c81-6ef3432b815f
AUDI RS6 Avant quattro,49800,59000,5,450,5,2003,False,True,88111c60-fcc4-4cd4-b175-01cfe2377e7a
RENAULT Sc+®nic 1.9dCi Emotion,24900,70000,5,131,5,2006,False,False,8820c761-6ed3-4475-aed6-d653a38ae57c
PORSCHE 911 Turbo,69800,30100,2,420,4,2001,False,False,afee82b1-f15c-455a-9a3b-51b6779c9e91
FIAT Stilo MW 1.8 16V Dynamic,13900,36000,5,133,5,2006,False,False,9f0239bd-b020-4a48-bf09-b55e7c5b0a61
VW Phaeton 6.0 W12 4Motion,24800,43900,4,420,4,2002,False,False,451f0e92-5ef4-42bf-8817-ba901f00b168
BMW 320i A,7500,115000,4,150,5,1995,False,False,5473a24b-b23c-4244-bb72-720e02342c15
PORSCHE Cayenne Turbo,99800,1,5,450,5,2007,False,True,e7f3c8c7-c613-4272-8454-617d7c89eca0
PORSCHE 911 Turbo,49800,69200,2,420,4,2000,False,False,924c43eb-bf68-443b-b988-403f4ff2e9fe
PORSCHE Cayenne S,89800,1000,5,340,5,2007,False,True,70765f2d-d4a7-49e1-b506-a7efee9199d8
VOLVO C30 2.0D Momentum,18800,44500,3,136,4,2007,False,False,a33a04cc-8798-41f2-ab9f-8625aa1789b4
PORSCHE Cayenne S,29800,59900,5,340,5,2003,False,False,80a3243d-0ba8-4943-bf4f-6975de25e054
AUDI A8 4.2 quattro,24800,90000,4,335,5,2004,False,False,a5b7bf8b-f27d-4806-a5f4-c1cb7aba5d60
AUDI A6 2.7 T quattro Advance,4900,104000,4,230,5,2000,False,False,da254848-dee1-467a-8e24-a2ac7809ee61
MERCEDES-BENZ E 55 AMG Avantgarde,44800,53800,4,476,5,2002,False,True,03581948-bb58-46f6-9e81-a62124fad492
PORSCHE 911 Turbo,74800,82100,2,420,4,2001,False,False,36e06ef4-3922-4500-870a-33042743706b
OPEL Astra 2.2i 16V,12800,12920,2,147,4,2003,True,False,cc484d12-c6a0-48c5-b568-70f1dae9b32e
PORSCHE Cayenne Turbo,69800,13700,5,450,5,2005,False,False,c01d0d6e-2ef3-4dc8-8269-c42da624868d
BENTLEY Arnage Red Label,79800,19300,4,405,5,2000,False,False,046ad864-6ade-4c93-bddc-94abada9ac5c
AUDI RS6 Avant quattro,49800,46900,5,450,5,2002,False,False,bb005c5b-6da3-411b-8ec5-4a2fbcd4ba49
PORSCHE 911 Turbo,109800,47600,2,420,4,2001,False,True,7851c196-7df5-4e49-87c9-f8bbbbe944bc
CITROEN Saxo 1.4i SX A,6950,72000,5,75,5,2000,False,False,cdf5e30c-d76d-490b-a74d-916014e12bc0
CADILLAC Eldorado TC 4.6 32V,12900,33000,2,305,5,1994,False,False,830c7e04-03af-4976-9a9b-41088eaefad4
VW Phaeton 6.0 W12 4Motion,19800,50400,4,420,4,2002,False,True,aa9be307-99f0-4250-9717-96aa5a1d348d
MERCEDES-BENZ ML 500 4Matic,109800,1,5,306,5,2007,False,True,7976ef7a-a6ec-4050-b8b7-0ffe499d2db8
BMW 328i Cabrio,12550,128000,2,193,4,1997,True,False,5a618135-4b82-49c9-a70a-432e143787fc
MERCEDES-BENZ SL 500,64800,47300,2,306,2,2002,True,True,1fa4c8b9-4b73-4079-b0f6-3110a32d0b25
AUDI RS6 Avant quattro,54800,47400,5,450,5,2002,False,False,ee83264e-e206-4a3f-8714-f27534516e8e
PORSCHE Cayenne Turbo,29800,79000,5,450,5,2003,False,True,6d0b97b1-8218-471e-a4eb-3ab15bc3025c
AUDI A4 Cabriolet 3.0 V6,21944,65000,2,220,4,2005,True,False,94164d37-2b08-4d09-a04c-9c9015b3672b
AUDI A6 2.4 V6,13944,153000,4,177,5,2004,False,False,47aa485e-9c12-46b4-a396-03b5dc2ad865
MAZDA 323 Diesel 2.0-16V,4000,131000,4,90,5,2000,False,False,125cfdb0-5481-4abf-9f6f-f350b2edb04c
PORSCHE Carrera GT,600000,6000,2,612,2,2006,False,True,1badac60-fe73-4900-bba0-57d44edcf00c
BENTLEY AZURE ,335000,22800,2,389,4,2000,True,True,6aa76885-5948-4f2c-819b-aca9be2fbb68
AUDI RS6 Avant quattro,54800,42600,5,450,5,2003,False,False,9f0e3751-61cd-46df-89ad-44e80dd48d37
MERCEDES-BENZ ML 63 AMG 4Matic,69800,12000,5,510,5,2007,False,False,26111e21-82a0-4ef0-8245-551fa09390d2
MERCEDES-BENZ S 400 CDI,39800,42000,4,250,5,2001,False,False,678226b6-9431-47c6-9777-37771167d5da
AUDI RS6 Avant quattro,39800,75200,5,450,5,2002,False,False,18e6331f-847c-4298-8d88-7aec77353fd2
MERCEDES-BENZ S 500,99800,48000,4,388,5,2006,False,False,df078cde-4d60-4e0c-a5be-12d222fe7efb
ROVER 75 4.6 V8 Contemporary SE Aut.,34900,12750,4,260,5,2005,False,False,1c888b75-fd30-471e-926a-ca81bc33d740
AUDI RS6 Avant quattro,49800,64500,5,450,5,2003,False,False,5a6d36e6-6900-4c0d-81e3-1ba5e86b55db
MERCEDES-BENZ CL 500,79800,15100,2,388,4,2006,False,False,20b0e54f-789e-476f-9fc9-5ca53f462676
MERCEDES-BENZ E 230 El+®gance,6900,142000,5,150,5,1996,False,False,0f19c83c-5f21-488d-a4f1-21e0c5a4df26
MERCEDES-BENZ SL 500,44800,64000,2,306,2,2002,True,True,54c827b6-b31c-4de8-81e4-42fefcff9e7e
MERCEDES-BENZ E 55 AMG Avantgarde,44800,52400,4,476,5,2002,False,False,18351308-ff0c-45c3-b1f3-0cb00c51a4cf
OPEL Frontera 3.2i V6 Olympus,14800,54500,5,205,5,2003,False,False,bd8f0bfd-5075-48a4-a985-00ca4ca46bf1
MERCEDES-BENZ S 500 L,29800,31400,4,306,5,2000,False,False,4a71955f-7b7f-47f9-b4f6-67a071610ab6
MERCEDES-BENZ CLK 55 AMG Avantgarde,49800,23700,2,367,4,2003,True,True,5a65dec6-3079-4d00-8d7a-271b8994d523
BENTLEY Arnage Green Label,74800,42300,4,354,5,2000,False,False,dace7b07-e699-4a49-afee-df7e728e96cc
BMW 530i Touring,26900,18800,5,231,5,2001,False,True,b015318b-8cc1-415b-b2a7-630623e29048
KIA Cerato 2.0 CVVT EX,8900,24000,5,143,5,2006,False,False,62f551e5-a649-4157-ae29-29f4ff2d2108
MERCEDES-BENZ S 55 AMG,29900,96300,4,360,5,1999,False,True,1cfe4fb7-7f01-4fb7-8167-becdf3967eb8
VW Touareg 4.2 V8,24900,70000,5,310,5,2004,False,False,521c1cb5-927e-4b73-a3f7-aecb8ce9889d
RENAULT Sc+®nic 2.0 16V Dynamique,24200,31000,5,135,5,2006,False,False,ebc2c471-3f80-4fc2-b424-acdc44b43a0a
TOYOTA Corolla Verso 1.8 L.Sol,21600,87200,5,129,7,2005,False,False,012ac30a-e59c-45d4-bb0a-93d84e045189
MERCEDES-BENZ E 320 CDI Avantgarde,69800,100,4,224,5,2007,False,True,73b250c3-4b58-4bfa-a83f-86fd399cd012
VOLVO S80 2.0T,9800,123000,4,180,5,2002,False,False,82918392-e534-47f9-b4fc-ad47eac8d04c
BMW Z8 Roadster,255000,16700,2,400,2,2002,True,True,765b4c26-551a-49e4-bb3c-ad3f5badda53
VOLVO S40 T4 Edition,7900,122700,4,200,5,2002,False,False,f8a5089b-e137-403e-8cc8-85dff77a3c1c
BMW 320i,11900,144500,4,170,5,2000,False,True,5ad70003-3e4a-4285-bcb5-6b6e760f18ae
MERCEDES-BENZ SL 600,99800,43000,2,500,2,2003,True,False,0bf0cb08-0e21-4ce1-9a72-9cc61f2f02ed
MERCEDES-BENZ SL 55 AMG,59800,21400,2,500,2,2004,True,True,670fa077-19ae-4bb3-8fcc-a8af52963484
HONDA Civic 1.3 iDSi IMA Hybrid,18000,15000,4,115,5,2007,False,False,d9fcce9e-1528-48ff-96b5-54ac9b9000cd
ALFA ROMEO GTV 2.0 TS 16V,14950,50000,2,150,4,2002,False,False,4ffa7375-1a2f-4e14-9b9f-a72c4cdfc4ce
SSANG YONG Actyon 200 Xdi 4WD Comf.,19900,30000,5,141,5,2007,False,True,328fad6c-6209-4133-9265-dac6af613657
PORSCHE 911 Carrera Cabrio,49800,75400,2,300,4,2001,True,False,ac481fee-08c3-4268-8889-7447f7e29f80
MERCEDES-BENZ ML 63 AMG 4Matic,99999,300,5,510,5,2012,False,True,a1ce5a8e-e454-495e-9007-6e51b7fbdfd9
VOLVO V70 3.2 Summum,44900,16000,5,238,5,2008,False,False,d418d28b-e5a1-4d40-8733-dcb9dac3b9d9
AUDI RS6 Avant quattro,56800,27900,5,450,5,2003,False,False,4244e737-5e3b-4e4d-860a-eabee899111c
AUDI A3 2.0T FSI Ambiente,18900,74500,5,200,5,2006,False,False,b30fec76-8724-4033-ace0-525209c2a709
BMW 330Ci,22800,65300,2,231,4,2001,True,False,2545639f-42e2-45bf-abf6-f693b412b307
MASERATI 3200 GT,29800,64600,2,370,4,2000,False,False,da8d0706-0772-49ee-9006-26a4260045ff
AUDI RS6 Avant quattro,49800,40900,5,450,5,2003,False,True,b8c4a839-7864-4915-b44a-af62b5005215
MERCEDES-BENZ A 170 Avantgarde,15900,26800,5,115,5,2006,False,False,dc8a5d34-fe59-49b2-b06b-b185f555cc1f
BMW M5,109800,3000,4,503,5,2005,False,False,d1a6b3b8-e069-4341-8a0a-c676d9f5f868
ALFA ROMEO 166 3.0 V6 Distinctive,13600,99000,4,220,5,2002,False,True,ceb491ea-6c66-4c16-aaee-426ac60ab36d
VOLVO V70 D5 Summum,47900,28000,5,185,5,2008,False,False,142444b9-6176-40fd-9c2f-fdb323cf8ba1
AUDI TT Roadster 1.8 T quattro,9999,92000,2,225,2,2000,True,False,350e89c0-00eb-4b80-8392-1e2d977c49c0
PORSCHE 911 Turbo,89800,74100,2,420,4,2001,False,False,44bd9e4c-eb95-4d91-aea3-d4ea146723c5
OPEL Signum1.9CDTi 16V Diamond,14500,48000,5,150,5,2006,False,False,1a23b0e4-d8ef-4f9c-8b6f-c59f8fdc94da
SAAB 9-5 2.3T Aero,14900,103000,5,250,5,2001,False,False,1c8ac2eb-39e7-4c42-8502-437e62eb31a3
